text,label
"World War II was a global conflict that lasted from 1939 to 1945, involving most of the world's nations.",0
"Photosynthesis is the process by which green plants convert sunlight into chemical energy.",0
"Shakespeare’s influence on the English language is unparalleled, enriching it with countless new words and phrases.",0
"Mount Everest, located in the Himalayas, is the highest mountain on Earth above sea level.",0
"The theory of evolution by natural selection was proposed by Charles Darwin in the 19th century.",0
"Ancient Roman civilization laid the foundation for modern laws, architecture, and engineering.",0
"The human brain contains about 86 billion neurons and is the control center of the nervous system.",0
"India gained independence from British colonial rule on August 15, 1947, after a long non-violent struggle.",0
"Leonardo da Vinci was not only an artist but also an inventor, anatomist, and engineer.",0
"Black holes are regions of spacetime exhibiting such strong gravitational effects that nothing—not even light—can escape from them.",0
