text,label
"World War II was a monumental period in history characterized by widespread conflict, significant technological advances, and geopolitical shifts.",1
"Photosynthesis enables plants to utilize sunlight for energy, sustaining life on Earth through the oxygen it releases.",1
"Shakespeare’s literary contributions continue to inspire writers and scholars, demonstrating the timeless nature of his work.",1
"Mount Everest stands as a symbol of human exploration and endurance, attracting climbers from around the globe.",1
"Darwin's theory of evolution fundamentally changed biology, explaining how species adapt over time through natural selection.",1
"The Roman Empire pioneered many modern innovations in law and architecture, influencing societies for centuries.",1
"The brain functions as a central processing unit for the body, handling thoughts, emotions, and automatic responses.",1
"India's independence marked a turning point in history, showcasing the power of peaceful protest and national unity.",1
"Leonardo da Vinci exemplified the Renaissance ideal of a polymath, mastering art, science, and innovation.",1
"Black holes captivate scientists due to their extreme gravity and mysterious nature, offering insight into fundamental physics.",1
